,company_name,company_rating,old,total_employees,cities,type,industry
0,Teleperformance,3.8, 46 years old , 50k-1 Lakh Employees , Indore +192 more, Forbes Global 2000 ,BPO 
1,TCS,3.8, 56 years old , 1 Lakh+ Employees , Indore +349 more, Public ,IT Services & Consulting 
2,Cipla,4.1, 89 years old , 10k-50k Employees , Indore +239 more, Public ,Pharma 
3,TaskUs,3.5, 16 years old , 5k-10k Employees , Indore +24 more,,
4,ICICI Bank,4.0, 30 years old , 1 Lakh+ Employees , Indore +1295 more, Public ,Banking 
5,VE Commercial Vehicles,4.1, 16 years old , 1k-5k Employees , Indore +128 more,,
6,HDFC Bank,4.0, 30 years old , 1 Lakh+ Employees , Indore +1560 more, Public ,Banking 
7,Lupin,4.1, 56 years old , 1k-5k Employees , Indore +170 more, Public ,Pharma 
8,Taurus BPO Services,4.6, 9 years old , 1k-5k Employees , Indore +14 more,,
9,Swastika Investmart,4.4, 32 years old , 501-1k Employees , Indore +41 more, Public ,Investment Banking / Venture Capital / Private Equity 
10,Jio,4.0, 6 years old , 50k-1 Lakh Employees , Indore +1175 more, Public ,Telecom 
11,Reliance Retail,4.0, 18 years old , 1 Lakh+ Employees , Indore +1013 more,,
12,Axis Bank,3.9, 31 years old , 50k-1 Lakh Employees , Indore +1317 more, Public ,Banking 
13,Vodafone Idea,4.2, 6 years old , 5k-10k Employees , Indore +637 more, Public ,Telecom 
14,BYJU'S,3.1, 13 years old , 10k-50k Employees , Indore +307 more, Indian Unicorn ,EdTech 
15,Cyber Infrastructure,3.4, 21 years old , 501-1k Employees , Indore +2 more,,
16,YASH Technologies,3.8, 28 years old , 5k-10k Employees , Indore +21 more,,
17,DXC Technology,3.8, 7 years old , 10k-50k Employees , Indore +83 more, Public ,IT Services & Consulting 
18,Infosys,3.8, 43 years old , 1 Lakh+ Employees , Indore +182 more, Public ,IT Services & Consulting 
19,Viatris,4.2, 4 years old , 10k-50k Employees , Indore +69 more, Forbes Global 2000 ,Pharma 
20,InfoBeans,3.6, 24 years old , 1k-5k Employees , Indore +4 more, Public ,IT Services & Consulting 
21,Hinduja Global Solutions,4.0, 24 years old , 10k-50k Employees , Indore +104 more, Public ,IT Services & Consulting 
22,Bharti Airtel,4.1, 29 years old , 10k-50k Employees , Indore +660 more, Public ,Telecom 
23,Symbiotec Pharmalab,3.9, 30 years old , 51-200 Employees , Indore +7 more,,
24,AU Small Finance Bank,4.4, 28 years old , 10k-50k Employees , Indore +409 more, Fortune India 500 ,Banking 
25,Glenmark Pharmaceuticals,4.0, 47 years old , 10k-50k Employees , Indore +141 more, Public ,Pharma 
26,Rakuten Symphony,3.6, 3 years old ,1k-5k Employees , Indore +3 more,,
27,Kotak Mahindra Bank,3.9, 21 years old , 50k-1 Lakh Employees , Indore +573 more, Public ,Banking 
28,HDB Financial Services,4.0, 17 years old , 1 Lakh+ Employees , Indore +959 more,,
29,Impetus Technologies,3.6, 33 years old , 1k-5k Employees , Indore +16 more,,
30,Ipca Laboratories,4.0, 75 years old , 10k-50k Employees , Indore +128 more, Public ,Pharma 
31,IDFC FIRST Bank,4.0, 6 years old , 10k-50k Employees , Indore +588 more, Public ,Banking 
32,Galaxy Weblinks,3.9, 24 years old , 501-1k Employees , Indore +7 more,,
33,IndusInd Bank,3.7, 30 years old , 10k-50k Employees , Indore +689 more, Public ,Banking 
34,InnoEye Technologies,3.5, 12 years old , 501-1k Employees , Indore +2 more,,
35,Sayaji Hotels,4.3, 37 years old , 1k-5k Employees , Indore +27 more, Public ,Hospitality 
36,Amazon,4.1, 30 years old , 1 Lakh+ Employees , Indore +455 more, Public ,Internet 
