,company_name,company_rating,old,total_employees,cities,type,industry
0,TCS,3.8, 56 years old , 1 Lakh+ Employees , Mumbai +349 more, Public ,IT Services & Consulting 
1,Kotak Mahindra Bank,3.9, 21 years old , 50k-1 Lakh Employees , Mumbai +573 more, Public ,Banking 
2,Accenture,4.0, 35 years old , 1 Lakh+ Employees , Mumbai +181 more, Public ,IT Services & Consulting 
3,ICICI Bank,4.0, 30 years old , 1 Lakh+ Employees , Mumbai +1295 more, Public ,Banking 
4,Capgemini,3.8, 57 years old , 1 Lakh+ Employees , Mumbai +142 more, Public ,IT Services & Consulting 
5,HDFC Bank,4.0, 30 years old , 1 Lakh+ Employees , Mumbai +1560 more, Public ,Banking 
6,Axis Bank,3.9, 31 years old , 50k-1 Lakh Employees , Mumbai +1317 more, Public ,Banking 
7,Deloitte,3.9, 179 years old , 1 Lakh+ Employees , Mumbai +151 more,,
8,Larsen & Toubro Limited,4.1, 86 years old , 10k-50k Employees , Mumbai +623 more, Public ,Engineering & Construction 
9,Whitehat jr,3.5, 6 years old , 5k-10k Employees , Mumbai +50 more, Startup ,EdTech 
10,Wipro,3.8, 79 years old , 1 Lakh+ Employees , Mumbai +272 more, Public ,IT Services & Consulting 
11,JPMorgan Chase & Co.,4.1, 56 years old , 50k-1 Lakh Employees , Mumbai +34 more, Public ,Financial Services 
12,Reliance Retail,4.0, 18 years old , 1 Lakh+ Employees , Mumbai +1013 more,,
13,Teleperformance,3.8, 46 years old , 50k-1 Lakh Employees , Mumbai +192 more, Forbes Global 2000 ,BPO 
14,Cipla,4.1, 89 years old , 10k-50k Employees , Mumbai +239 more, Public ,Pharma 
15,WNS,3.5, 28 years old , 10k-50k Employees , Mumbai +38 more,,
16,Jio,4.0, 6 years old , 50k-1 Lakh Employees , Mumbai +1175 more, Public ,Telecom 
17,HDB Financial Services,4.0, 17 years old , 1 Lakh+ Employees , Mumbai +959 more,,
18,Reliance Industries,4.1, 47 years old , 1 Lakh+ Employees , Mumbai +687 more, Public ,Oil & Gas 
19,Lodha group,4.1, 44 years old , 5k-10k Employees , Mumbai +23 more, Fortune India 500 ,Real Estate 
20,Godrej & Boyce Manufacturing,4.0, 127 years old , 10k-50k Employees , Mumbai +129 more, Fortune India 500 ,Consumer Electronics & Appliances 
21,Yes Bank,3.9, 20 years old , 10k-50k Employees , Mumbai +447 more, Public ,Banking 
22,Mahindra & Mahindra,4.2, 79 years old , 1 Lakh+ Employees , Mumbai +480 more, Public ,Automobile 
23,IDFC FIRST Bank,4.0, 6 years old , 10k-50k Employees , Mumbai +588 more, Public ,Banking 
24,Ernst & Young,3.6, 22 years old , 50k-1 Lakh Employees , Mumbai +94 more,,
25,Tech Mahindra,3.7, 38 years old , 1 Lakh+ Employees , Mumbai +269 more, Public ,IT Services & Consulting 
26,IndusInd Bank,3.7, 30 years old , 10k-50k Employees , Mumbai +689 more, Public ,Banking 
27,Abbott,4.2, 136 years old , 10k-50k Employees , Mumbai +169 more, Public ,Pharma 
28,L&T Infotech,3.8, 28 years old , 10k-50k Employees , Mumbai +84 more, Public ,IT Services & Consulting 
29,Macleods Pharmaceuticals,3.8, 38 years old , 10k-50k Employees , Mumbai +98 more, Public ,Pharma 
30,NeoSOFT,4.0, 28 years old , 1k-5k Employees , Mumbai +20 more,,
31,HDFC Life,4.1, 24 years old , 10k-50k Employees , Mumbai +563 more, Public ,Insurance 
32,Asian Paints,4.1, 82 years old , 5k-10k Employees , Mumbai +443 more, Public ,Chemicals 
33,Cognizant,3.9, 30 years old , 1 Lakh+ Employees , Mumbai +169 more, Forbes Global 2000 ,IT Services & Consulting 
34,Lupin,4.1, 56 years old , 1k-5k Employees , Mumbai +170 more, Public ,Pharma 
