,company_name,company_rating,old,total_employees,cities,type,industry
0,TCS,3.8, 56 years old , 1 Lakh+ Employees , Pune +349 more, Public ,IT Services & Consulting 
1,Infosys,3.8, 43 years old , 1 Lakh+ Employees , Pune +182 more, Public ,IT Services & Consulting 
2,Cognizant,3.9, 30 years old , 1 Lakh+ Employees , Pune +169 more, Forbes Global 2000 ,IT Services & Consulting 
3,Wipro,3.8, 79 years old , 1 Lakh+ Employees , Pune +272 more, Public ,IT Services & Consulting 
4,Capgemini,3.8, 57 years old , 1 Lakh+ Employees , Pune +142 more, Public ,IT Services & Consulting 
5,Tech Mahindra,3.7, 38 years old , 1 Lakh+ Employees , Pune +269 more, Public ,IT Services & Consulting 
6,Accenture,4.0, 35 years old , 1 Lakh+ Employees , Pune +181 more, Public ,IT Services & Consulting 
7,WNS,3.5, 28 years old , 10k-50k Employees , Pune +38 more,,
8,Infosys BPM,3.8, 22 years old , 10k-50k Employees , Pune +68 more,,
9,Amdocs,4.0, 42 years old , 10k-50k Employees , Pune +15 more, Forbes Global 2000 ,Software Product 
10,Tata Motors,4.2, 79 years old , 10k-50k Employees , Pune +433 more, Public ,Automobile 
11,Vodafone Idea,4.2, 6 years old , 5k-10k Employees , Pune +637 more, Public ,Telecom 
12,IBM,4.1, 113 years old , 1 Lakh+ Employees , Pune +149 more, Public ,IT Services & Consulting 
13,BNY Mellon,4.0, 20 years old , 10k-50k Employees , Pune +16 more, Forbes Global 2000 ,Investment Banking / Venture Capital / Private Equity 
14,Mphasis,3.5, 26 years old , 10k-50k Employees , Pune +54 more, Public ,IT Services & Consulting 
15,John Deere,4.3, 23 years old , 5k-10k Employees , Pune +120 more, Fortune India 500 ,Industrial Machinery 
16,Concentrix Corporation,3.9, 41 years old , 50k-1 Lakh Employees , Pune +117 more, Public ,BPO 
17,Persistent Systems,3.8, 34 years old , 10k-50k Employees , Pune +33 more, Public ,IT Services & Consulting 
18,Atos Syntel,3.6, 44 years old , 5k-10k Employees , Pune +25 more,,
19,eClerx,3.5, 24 years old , 10k-50k Employees , Pune +17 more, Public ,IT Services & Consulting 
20,Cummins,4.4, 105 years old , 1k-5k Employees , Pune +86 more, Fortune India 500 ,Industrial Machinery 
21,Cybage,3.9, 29 years old , 5k-10k Employees , Pune +9 more,,
22,Tata Technologies,3.8, 35 years old , 5k-10k Employees , Pune +40 more, Conglomerate ,Engineering & Construction 
23,Synechron,3.7, 23 years old , 10k-50k Employees , Pune +26 more,,
24,L&T Infotech,3.8, 28 years old , 10k-50k Employees , Pune +84 more, Public ,IT Services & Consulting 
25,Thermax Limited,4.2, 58 years old , 1k-5k Employees , Pune +181 more, Public ,Industrial Machinery 
26,HCLTech,3.7, 33 years old , 1 Lakh+ Employees , Pune +184 more, Public ,IT Services & Consulting 
27,Mahindra & Mahindra,4.2, 79 years old , 1 Lakh+ Employees , Pune +480 more, Public ,Automobile 
28,LTIMindtree,3.6, 27 years old , 50k-1 Lakh Employees , Pune +52 more, Public ,IT Services & Consulting 
29,Barclays,4.0, 334 years old , 10k-50k Employees , Pune +30 more, Forbes Global 2000 ,Banking 
30,FIS,3.9, 56 years old , 10k-50k Employees , Pune +43 more,,
31,Zensar Technologies,3.8, 23 years old , 5k-10k Employees , Pune +22 more, Public ,IT Services & Consulting 
32,Bajaj Auto,3.9, 79 years old , 5k-10k Employees , Pune +258 more, Public ,Automobile 
33,KPIT Technologies,3.6, 34 years old , 5k-10k Employees , Pune +32 more, Public ,Software Product 
34,Conneqt Business Solutions,3.7, 22 years old , 10k-50k Employees , Pune +224 more,,
35,Tata Communications,4.1, 38 years old , 5k-10k Employees , Pune +86 more, Public ,Telecom 
36,Johnson Controls,3.7, 139 years old , 5k-10k Employees , Pune +49 more, Public ,Industrial Automation 
37,Bajaj Finserv,4.1, 17 years old , 50k-1 Lakh Employees , Pune +904 more, Public ,Financial Services 
38,HSBC Group,4.1, 159 years old , 10k-50k Employees , Pune +59 more, Forbes Global 2000 ,Banking 
39,Amazon,4.1, 30 years old , 1 Lakh+ Employees , Pune +455 more, Public ,Internet 
40,HDFC Bank,4.0, 30 years old , 1 Lakh+ Employees , Pune +1560 more, Public ,Banking 
41,Atos,3.8, 27 years old , 10k-50k Employees , Pune +40 more, Forbes Global 2000 ,IT Services & Consulting 
42,Credit Suisse,4.3, 168 years old , 10k-50k Employees , Pune +10 more,,
43,ICICI Bank,4.0, 30 years old , 1 Lakh+ Employees , Pune +1295 more, Public ,Banking 
44,Deutsche Bank,4.0, 154 years old , 10k-50k Employees , Pune +38 more, Fortune India 500 ,Banking 
45,ZS,3.4, 41 years old , 5k-10k Employees , Pune +12 more,,
46,Capita,3.8, 19 years old , 5k-10k Employees , Pune +25 more,,
47,Xoriant,3.9, 34 years old , 1k-5k Employees , Pune +19 more,,
48,Maersk,4.3, 120 years old , 10k-50k Employees , Pune +36 more,,
49,State Street Syntel,3.7, 20 years old , 501-1k Employees , Pune +21 more,,
50,Emcure Pharmaceuticals,3.8, 43 years old , 5k-10k Employees , Pune +96 more, Fortune India 500 ,Pharma 
51,Fujitsu,3.9, 89 years old , 5k-10k Employees , Pune +29 more, Forbes Global 2000 ,IT Services & Consulting 
52,Tietoevry,4.3, 56 years old , 1k-5k Employees , Pune +9 more, Public ,IT Services & Consulting 
53,Bajaj Finance,4.1, 37 years old , 10k-50k Employees , Pune +771 more,,
54,Automatic Data Processing (ADP),4.1, 75 years old , 1k-5k Employees , Pune +26 more, Forbes Global 2000 ,Software Product 
55,Eaton Corporation,4.0, 113 years old , 5k-10k Employees , Pune +19 more, Public ,Power 
56,Allstate,4.0, 12 years old , 5k-10k Employees , Pune +9 more, Forbes Global 2000 ,Insurance 
57,Sigma Electric Manufacturing Corporation,4.0, 42 years old , 1k-5k Employees , Pune +20 more,,
58,Fiserv,3.6, 40 years old , 5k-10k Employees , Pune +29 more, Forbes Global 2000 ,FinTech 
