,company_name,old,total_employees,cities,type,industry,rating
0,Zydus Lifesciences, 72 years old , 10k-50k Employees ,Ahmedabad,Public,Pharma,4-5
1,Intas Pharmaceuticals, 47 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Pharma,4-5
2,Vodafone Idea, 6 years old , 5k-10k Employees ,Ahmedabad,Public,Telecom,4-5
3,TTEC India, 40 years old , 1k-5k Employees ,Ahmedabad,Public,Bpo,3-4
4,Cadila Pharmaceuticals, 73 years old , 5k-10k Employees ,Ahmedabad,Public,Pharma,3-4
5,Torrent Pharmaceuticals, 53 years old , 10k-50k Employees ,Ahmedabad,Public,Pharma,3-4
6,TCS, 56 years old , 1 Lakh+ Employees ,Ahmedabad,Public,It Services & Consulting,3-4
7,S&P Global, 164 years old , 10k-50k Employees ,Ahmedabad,Public,Analytics & Kpo,4-5
8,Arvind Group, 93 years old , 10k-50k Employees ,Ahmedabad,Public,Fashion & Textile,4-5
9,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Ahmedabad,Public,Banking,3-4
10,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Ahmedabad,Public,Banking,3-4
11,Torrent Power, 28 years old , 5k-10k Employees ,Ahmedabad,Public,Power,3-4
12,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Ahmedabad,Public,It Services & Consulting,3-4
13,Kotak Mahindra Bank, 21 years old , 50k-1 Lakh Employees ,Ahmedabad,Public,Banking,3-4
14,Adani Group, 36 years old , 10k-50k Employees ,Ahmedabad,Public,Power,3-4
15,JBM Group, 41 years old , 1k-5k Employees ,Ahmedabad,Public,Auto Components,3-4
16,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Ahmedabad,Public,Engineering & Construction,4-5
17,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Ahmedabad,Public,Banking,3-4
18,Shalby Hospitals, 30 years old , 1k-5k Employees ,Ahmedabad,Public,Healthcare,4-5
19,Otsuka Pharmaceutical India Private Limited, 8 years old , 501-1k Employees ,Ahmedabad,Forbes Global 2000,Pharma,4-5
20,Tata Motors, 79 years old , 10k-50k Employees ,Ahmedabad,Public,Automobile,4-5
21,Electrotherm, 41 years old , 1k-5k Employees ,Ahmedabad,Public,Iron & Steel,4-5
22,Jio, 6 years old , 50k-1 Lakh Employees ,Ahmedabad,Public,Telecom,3-4
23,Ford Motor, 121 years old , 5k-10k Employees ,Ahmedabad,Public,Automobile,4-5
24,Eris Lifesciences, 17 years old , 1k-5k Employees ,Ahmedabad,Public,Pharma,3-4
25,Adani Wilmar, 25 years old , 1k-5k Employees ,Ahmedabad,Public,Fmcg,4-5
26,Bharti Airtel, 29 years old , 10k-50k Employees ,Indore,Public,Telecom,4-5
27,Baxter International, 93 years old , 1k-5k Employees ,Ahmedabad,Forbes Global 2000,Healthcare,4-5
28,Reliance Industries, 47 years old , 1 Lakh+ Employees ,Indore,Public,Oil & Gas,4-5
29,Adani Green Energy, 9 years old , 1k-5k Employees ,Indore,Fortune India 500,Power,4-5
30,Adani Power, 18 years old , 1k-5k Employees ,Mundra,Public,Power,3-4
31,Mastek, 42 years old , 1k-5k Employees ,Ahmedabad,Public,It Services & Consulting,3-4
32,BYJU'S, 13 years old , 10k-50k Employees ,Indore,Indian Unicorn,Edtech,3-4
33,IndusInd Bank, 30 years old , 10k-50k Employees ,Indore,Public,Banking,3-4
34,IDFC FIRST Bank, 6 years old , 10k-50k Employees ,Indore,Public,Banking,3-4
35,Nirma, 34 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Fmcg,4-5
36,LendingKart, 10 years old , 1k-5k Employees ,Ahmedabad,Public,Nbfc,3-4
37,MAS Financial Services, 29 years old , 1k-5k Employees ,Ahmedabad,Public,Financial Services,3-4
38,QX Global Group, 21 years old , 1k-5k Employees ,Ahmedabad,Public,It Services & Consulting,3-4
39,Vadilal Industries, 117 years old , 501-1k Employees ,Ahmedabad,Public,Fmcg,4-5
40,Sterlite Technologies, 36 years old , 1k-5k Employees ,Ahmedabad,Public,Hardware & Networking,3-4
41,Cliantha Research, 20 years old , 501-1k Employees ,Ahmedabad,Public,Clinical Research,3-4
42,Zydus Hospital, 9 years old , 1k-5k Employees ,Ahmedabad,Public,Healthcare,4-5
43,Yes Bank, 20 years old , 10k-50k Employees ,Ahmedabad,Public,Banking,3-4
44,Gtpl Hathway, 18 years old , 501-1k Employees ,Ahmedabad,Public,Broadcasting,4-5
45,Zydus Wellness, 36 years old , 501-1k Employees ,Ahmedabad,Public,Fmcg,3-4
46,Adani Ports and SEZ, 26 years old , 1k-5k Employees ,Ahmedabad,Public,Ports & Shipping,3-4
47,AU Small Finance Bank, 28 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Banking,4-5
48,Vestas, 27 years old , 1k-5k Employees ,Ahmedabad,Forbes Global 2000,Power,4-5
49,Jindal Worldwide, 38 years old , 1k-5k Employees ,Ahmedabad,Public,Fashion & Textile,3-4
50,CARS24, 9 years old , 5k-10k Employees ,Ahmedabad,Indian Unicorn,Internet,3-4
51,DMart, 22 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Retail,3-4
52,Subros, 39 years old , 1k-5k Employees ,Ahmedabad,Public,Auto Components,3-4
53,Claris Lifesciences Ahmedabad, 25 years old , 1k-5k Employees ,Ahmedabad,Public,Healthcare,3-4
54,Lincoln Pharmaceuticals, 45 years old , 1k-5k Employees ,Ahmedabad,Public,Pharma,3-4
55,JustDial, 28 years old , 10k-50k Employees ,Ahmedabad,Public,Internet,3-4
56,L&T Construction, 80 years old , 5k-10k Employees ,Ahmedabad,Public,Engineering & Construction,4-5
57,Viatris, 4 years old , 10k-50k Employees ,Ahmedabad,Forbes Global 2000,Pharma,4-5
58,Concord Biotech, 24 years old , 501-1k Employees ,Ahmedabad,Public,Pharma,3-4
59,Sanghi Industries, 39 years old , 501-1k Employees ,Ahmedabad,Public,Building Material,3-4
60,Piramal Pharma, 36 years old , 1k-5k Employees ,Ahmedabad,Public,Pharma,3-4
61,Health Care Global Enterprises, 35 years old , 5k-10k Employees ,Ahmedabad,Public,Healthcare,4-5
62,Sadbhav Engineering, 36 years old , 1k-5k Employees ,Ahmedabad,Public,Engineering & Construction,4-5
63,Startek, 7 years old , 10k-50k Employees ,Ahmedabad,Public,Bpo,3-4
64,Jana Small Finance Bank, 18 years old , 10k-50k Employees ,Ahmedabad,Public,Banking,3-4
65,Aia Engineering, 45 years old , 1k-5k Employees ,Ahmedabad,Public,Industrial Machinery,4-5
66,Emcure Pharmaceuticals, 43 years old , 5k-10k Employees ,Ahmedabad,Fortune India 500,Pharma,3-4
67,Monte Carlo, 40 years old , 201-500 Employees ,Ahmedabad,Public,Fashion & Textile,4-5
68,Asian Granito India, 24 years old , 1k-5k Employees ,Ahmedabad,Public,Building Material,3-4
69,Kogta Financial India Limited, 28 years old , 1k-5k Employees ,Ahmedabad,Public,Nbfc,4-5
70,ICICI Prudential Life Insurance, 24 years old , 10k-50k Employees ,Ahmedabad,Public,Insurance,4-5
71,Chiripal Industries, 52 years old , 1k-5k Employees ,Ahmedabad,Public,Fashion & Textile,3-4
72,IIFL Finance, 29 years old , 10k-50k Employees ,Ahmedabad,Public,Nbfc,3-4
73,Apollo Hospitals, 41 years old , 10k-50k Employees ,Ahmedabad,Public,Healthcare,4-5
74,Piramal Group, 44 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Financial Services,3-4
75,Sodexo, 16 years old , 10k-50k Employees ,Ahmedabad,Forbes Global 2000,Facility Management Services,4-5
76,Abellon Clean Energy, 16 years old , 501-1k Employees ,Ahmedabad,Public,Other,3-4
77,Adani Solar, 9 years old , 1k-5k Employees ,Ahmedabad,Public,Power,3-4
78,Ingersoll Rand, 52 years old , 501-1k Employees ,Ahmedabad,Public,Industrial Machinery,4-5
79,Sintex Industries, 93 years old , 5k-10k Employees ,Ahmedabad,Public,Industrial Machinery,4-5
80,Adani Gas, 20 years old , 501-1k Employees ,Ahmedabad,Public,Oil & Gas,3-4
81,HDFC Life, 24 years old , 10k-50k Employees ,Ahmedabad,Public,Insurance,4-5
82,Silver Touch Technologies, 32 years old , 1k-5k Employees ,Ahmedabad,Public,It Services & Consulting,3-4
83,Indus Towers, 17 years old , 1k-5k Employees ,Ahmedabad,Fortune India 500,Telecom,3-4
84,Amazon, 30 years old , 1 Lakh+ Employees ,Ahmedabad,Public,Internet,4-5
85,Asian Paints, 82 years old , 5k-10k Employees ,Ahmedabad,Public,Chemicals,4-5
86,Dev Information Technology, 27 years old , 501-1k Employees ,Ahmedabad,Public,It Services & Consulting,3-4
87,Samsung, 55 years old , 50k-1 Lakh Employees ,Ahmedabad,Public,Consumer Electronics & Appliances,4-5
88,ICICI Lombard General Insurance Company, 23 years old , 10k-50k Employees ,Ahmedabad,Public,Insurance,3-4
89,Paytm, 14 years old , 10k-50k Employees ,Ahmedabad,Public,Fintech,3-4
90,Symphony, 36 years old , 201-500 Employees ,Ahmedabad,Public,Consumer Electronics & Appliances,4-5
91,Delhivery, 13 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Logistics,3-4
92,Sterling Hospitals, 23 years old , 1k-5k Employees ,Ahmedabad,Public,Healthcare,3-4
93,BigBasket, 13 years old , 10k-50k Employees ,Ahmedabad,Indian Unicorn,Internet,3-4
94,Flipkart, 17 years old , 10k-50k Employees ,Ahmedabad,Public,Internet,3-4
95,Deep Industries, 33 years old , 1k-5k Employees ,Ahmedabad,Public,Oil & Gas,3-4
96,Bajaj Finserv, 17 years old , 50k-1 Lakh Employees ,Ahmedabad,Public,Financial Services,4-5
97,upGrad, 9 years old , 5k-10k Employees ,Ahmedabad,Indian Unicorn,Edtech,3-4
98,Wipro, 79 years old , 1 Lakh+ Employees ,Ahmedabad,Public,It Services & Consulting,3-4
99,UltraTech Cement, 41 years old , 10k-50k Employees ,Ahmedabad,Public,Building Material,4-5
100,Quess, 17 years old , 1k-5k Employees ,Ahmedabad,Public,Bpo,3-4
101,Meghmani Organics, 38 years old , 501-1k Employees ,Ahmedabad,Public,Chemicals,3-4
102,Voltas, 70 years old , 1k-5k Employees ,Ahmedabad,Public,Consumer Electronics & Appliances,4-5
103,Oil And Natural Gas Corporation, 68 years old , 10k-50k Employees ,Ahmedabad,Public,Oil & Gas,4-5
104,Oyo Rooms, 11 years old , 1k-5k Employees ,Ahmedabad,Indian Unicorn,Hospitality,3-4
105,Kotak Securities, 30 years old , 5k-10k Employees ,Ahmedabad,Conglomerate,Financial Services,3-4
106,IBM, 113 years old , 1 Lakh+ Employees ,Ahmedabad,Public,It Services & Consulting,4-5
107,Maruti Suzuki, 43 years old , 10k-50k Employees ,Ahmedabad,Public,Automobile,4-5
108,Indian Space Research Organisation, 55 years old , 10k-50k Employees ,Ahmedabad,Public,Defence & Aerospace,4-5
109,Future Group, 11 years old , 10k-50k Employees ,Ahmedabad,Conglomerate,Retail,4-5
110,Samvardhana Motherson Group, 38 years old , 1k-5k Employees ,Ahmedabad,Public,Auto Components,3-4
111,Shapoorji Pallonji Group, 159 years old , 5k-10k Employees ,Ahmedabad,Conglomerate,Engineering & Construction,4-5
112,Nandan Denim, 30 years old , 1k-5k Employees ,Ahmedabad,Public,Fashion & Textile,3-4
113,JLL, 25 years old , 10k-50k Employees ,Ahmedabad,Forbes Global 2000,Real Estate,4-5
114,Ratnamani Metals and Tubes, 41 years old , 1k-5k Employees ,Ahmedabad,Public,Iron & Steel,4-5
115,Tata Projects, 45 years old , 5k-10k Employees ,Ahmedabad,Public,Engineering & Construction,4-5
116,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Ahmedabad,Forbes Global 2000,Bpo,3-4
117,Hyatt Regency, 44 years old , 1k-5k Employees ,Ahmedabad,Forbes Global 2000,Hospitality,4-5
118,Megha Engineering & Infrastructures, 35 years old , 5k-10k Employees ,Ahmedabad,Conglomerate,Engineering & Construction,3-4
119,DCB Bank, 94 years old , 5k-10k Employees ,Ahmedabad,Fortune India 500,Banking,3-4
120,Dainik Bhaskar Group, 66 years old , 5k-10k Employees ,Ahmedabad,Public,Printing & Publishing,4-5
121,Anup Engineering, 62 years old , 51-200 Employees ,Ahmedabad,Public,Fashion & Textile,3-4
122,Indiabulls Home Loans, 19 years old , 5k-10k Employees ,Ahmedabad,Public,Nbfc,3-4
123,Pidilite Industries, 65 years old , 5k-10k Employees ,Ahmedabad,Public,Chemicals,4-5
124,ITC, 114 years old , 10k-50k Employees ,Ahmedabad,Public,Fmcg,3-4
125,Gujarat Ambuja Exports, 33 years old , 1k-5k Employees ,Ahmedabad,Public,Agro Chemicals,3-4
126,Equitas Small Finance Bank, 17 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Banking,4-5
127,Ashima Group, 42 years old , 501-1k Employees ,Ahmedabad,Public,Fashion & Textile,3-4
128,Bank of Baroda, 116 years old , 50k-1 Lakh Employees ,Ahmedabad,Fortune India 500,Banking,3-4
129,Rivigo, 10 years old , 1k-5k Employees ,Ahmedabad,Indian Unicorn,Internet,3-4
130,ICICI Securities, 29 years old , 1k-5k Employees ,Ahmedabad,Public,Financial Services,3-4
131,Gensol Engineering, 17 years old , 51-200 Employees ,Ahmedabad,Public,Power,4-5
132,Sayaji Industries, 83 years old , 1k-5k Employees ,Ahmedabad,Public,Agro Chemicals,3-4
133,Blue Dart Express, 41 years old , 10k-50k Employees ,Ahmedabad,Public,Logistics,4-5
134,Finecure Pharmaceuticals, 19 years old , 201-500 Employees ,Ahmedabad,Public,Pharma,3-4
135,Adani Transmission, 11 years old , 501-1k Employees ,Ahmedabad,Public,Real Estate,3-4
136,Shah Alloys, 34 years old , 1k-5k Employees ,Ahmedabad,Public,Iron & Steel,2-3
137,Cholamandalam Investment & Finance, 46 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Nbfc,4-5
138,Ujjivan Small Finance Bank, 7 years old , 10k-50k Employees ,Ahmedabad,Public,Banking,4-5
139,Stelmec, 40 years old , 501-1k Employees ,Ahmedabad,Public,Electronics Manufacturing,3-4
140,LG Electronics, 66 years old , 1k-5k Employees ,Ahmedabad,Public,Consumer Electronics & Appliances,4-5
141,Nestle, 65 years old , 5k-10k Employees ,Ahmedabad,Public,Food Processing,4-5
142,SKF, 101 years old , 1k-5k Employees ,Ahmedabad,Public,Auto Components,3-4
143,Tata Capital, 17 years old , 5k-10k Employees ,Ahmedabad,Fortune India 500,Nbfc,4-5
144,Cera Sanitaryware, 44 years old , 1k-5k Employees ,Ahmedabad,Public,Building Material,4-5
145,Osia Hypermart, 10 years old , 51-200 Employees ,Ahmedabad,Public,Retail,3-4
146,Windsor Machines, 61 years old , 501-1k Employees ,Ahmedabad,Public,Industrial Machinery,3-4
147,Vistaprint, 12 years old , 1k-5k Employees ,Ahmedabad,Startup,Internet,3-4
148,Bandhan Bank, 23 years old , 50k-1 Lakh Employees ,Ahmedabad,Public,Banking,3-4
149,Manappuram Finance, 75 years old , 10k-50k Employees ,Ahmedabad,Public,Nbfc,3-4
